source,source_country,source_region,destination,destination_country,destination_region,distance_km
CBO,Philippines,IDN,MNL,Philippines,IDN,887.6554018895711
CGY,Philippines,IDN,MNL,Philippines,IDN,754.9091164699981
CRM,Philippines,IDN,MNL,Philippines,IDN,450.1057300369508
DGT,Philippines,IDN,MNL,Philippines,IDN,626.5736881526625
DWC,United Arab Emirates,MEA,MNL,Philippines,IDN,6929.057653383128
GES,Philippines,IDN,MNL,Philippines,IDN,1039.9236312136563
KLO,Philippines,IDN,MNL,Philippines,IDN,347.17620190869707
LGP,Philippines,IDN,MNL,Philippines,IDN,329.38623112998755
MNL,Philippines,IDN,BSO,Philippines,IDN,668.5873317352389
MNL,Philippines,IDN,BXU,Philippines,IDN,785.6636043607376
MNL,Philippines,IDN,CBO,Philippines,IDN,887.6554018895711
MNL,Philippines,IDN,CGY,Philippines,IDN,754.9091164699981
MNL,Philippines,IDN,CRM,Philippines,IDN,450.1057300369508
MNL,Philippines,IDN,DGT,Philippines,IDN,626.5736881526625
MNL,Philippines,IDN,DWC,United Arab Emirates,MEA,6929.057653383128
MNL,Philippines,IDN,GES,Philippines,IDN,1039.9236312136563
MNL,Philippines,IDN,KLO,Philippines,IDN,347.17620190869707
MNL,Philippines,IDN,LGP,Philippines,IDN,329.38623112998755
MNL,Philippines,IDN,MPH,Philippines,IDN,304.60455408669264
MNL,Philippines,IDN,OZC,Philippines,IDN,768.10565415533
MNL,Philippines,IDN,PPS,Philippines,IDN,584.1982735894983
MNL,Philippines,IDN,RXS,Philippines,IDN,374.10812080353105
MNL,Philippines,IDN,SUG,Philippines,IDN,717.1596451776982
MNL,Philippines,IDN,TUG,Philippines,IDN,356.799048247548
MNL,Philippines,IDN,ZAM,Philippines,IDN,851.1508232458168
MPH,Philippines,IDN,MNL,Philippines,IDN,304.60455408669264
OZC,Philippines,IDN,MNL,Philippines,IDN,768.10565415533
PPS,Philippines,IDN,MNL,Philippines,IDN,584.1982735894983
RXS,Philippines,IDN,MNL,Philippines,IDN,374.10812080353105
SUG,Philippines,IDN,MNL,Philippines,IDN,717.1596451776982
TUG,Philippines,IDN,MNL,Philippines,IDN,356.799048247548
ZAM,Philippines,IDN,MNL,Philippines,IDN,851.1508232458168
AUX,Brazil,BRA,PMW,Brazil,BRA,340.90055757602914
BRA,Brazil,BRA,BSB,Brazil,BRA,525.6465787320147
BRA,Brazil,BRA,SSA,Brazil,BRA,731.7115488741829
BSB,Brazil,BRA,BRA,Brazil,BRA,525.6465787320147
BSB,Brazil,BRA,OPS,Brazil,BRA,938.3890741999669
BSB,Brazil,BRA,RAO,Brazil,BRA,585.8853682415156
CAC,Brazil,BRA,GRU,Brazil,BRA,733.4994595166997
CGB,Brazil,BRA,GYN,Brazil,BRA,744.5253175834697
CGB,Brazil,BRA,OPS,Brazil,BRA,422.8702531019859
CGR,Brazil,BRA,DOU,Brazil,BRA,194.51151952327237
DOU,Brazil,BRA,CGR,Brazil,BRA,194.51151952327237
DOU,Brazil,BRA,GRU,Brazil,BRA,877.0738733404154
GIG,Brazil,BRA,RAO,Brazil,BRA,502.41661662456556
GRU,Brazil,BRA,CAC,Brazil,BRA,733.4994595166997
GRU,Brazil,BRA,DOU,Brazil,BRA,877.0738733404154
GRU,Brazil,BRA,RAO,Brazil,BRA,288.6975105427224
GRU,Brazil,BRA,UBA,Brazil,BRA,436.3766546982135
GRU,Brazil,BRA,UDI,Brazil,BRA,537.7555229439891
GRU,Brazil,BRA,VDC,Brazil,BRA,1120.2772704783356
GYN,Brazil,BRA,CGB,Brazil,BRA,744.5253175834697
GYN,Brazil,BRA,PMW,Brazil,BRA,711.1838829811212
GYN,Brazil,BRA,RAO,Brazil,BRA,523.3844820462187
GYN,Brazil,BRA,UDI,Brazil,BRA,271.6503046090855
OPS,Brazil,BRA,BSB,Brazil,BRA,938.3890741999669
OPS,Brazil,BRA,CGB,Brazil,BRA,422.8702531019859
PLU,Brazil,BRA,RAO,Brazil,BRA,423.34209165541245
PMW,Brazil,BRA,AUX,Brazil,BRA,340.90055757602914
PMW,Brazil,BRA,GYN,Brazil,BRA,711.1838829811212
RAO,Brazil,BRA,BSB,Brazil,BRA,585.8853682415156
RAO,Brazil,BRA,GIG,Brazil,BRA,502.41661662456556
RAO,Brazil,BRA,GRU,Brazil,BRA,288.6975105427224
RAO,Brazil,BRA,GYN,Brazil,BRA,523.3844820462187
RAO,Brazil,BRA,PLU,Brazil,BRA,423.34209165541245
RAO,Brazil,BRA,SJP,Brazil,BRA,172.91334607389948
RAO,Brazil,BRA,UDI,Brazil,BRA,254.84403140709634
SJP,Brazil,BRA,RAO,Brazil,BRA,172.91334607389948
SSA,Brazil,BRA,BRA,Brazil,BRA,731.7115488741829
SSA,Brazil,BRA,VDC,Brazil,BRA,349.88434603325885
UBA,Brazil,BRA,GRU,Brazil,BRA,436.3766546982135
UBA,Brazil,BRA,UDI,Brazil,BRA,101.67905335923881
UDI,Brazil,BRA,GRU,Brazil,BRA,537.7555229439891
UDI,Brazil,BRA,GYN,Brazil,BRA,271.6503046090855
UDI,Brazil,BRA,RAO,Brazil,BRA,254.84403140709634
UDI,Brazil,BRA,UBA,Brazil,BRA,101.67905335923881
VDC,Brazil,BRA,GRU,Brazil,BRA,1120.2772704783356
VDC,Brazil,BRA,SSA,Brazil,BRA,349.88434603325885
BRL,United States,USA,ORD,United States,USA,299.7634210864198
BRL,United States,USA,STL,United States,USA,235.25890892252008
DEC,United States,USA,ORD,United States,USA,251.70224645238423
DEC,United States,USA,STL,United States,USA,177.02213163997635
JBR,United States,USA,STL,United States,USA,325.27510641767344
ORD,United States,USA,BRL,United States,USA,299.7634210864198
ORD,United States,USA,DEC,United States,USA,251.70224645238423
STL,United States,USA,BRL,United States,USA,235.25890892252008
STL,United States,USA,DEC,United States,USA,177.02213163997635
STL,United States,USA,JBR,United States,USA,325.27510641767344
KTN,United States,USA,MTM,United States,USA,26.420297805135977
MTM,United States,USA,KTN,United States,USA,26.420297805135977
ACC,Ghana,AFW,DKR,Senegal,AFW,2148.7762160006223
ACC,Ghana,AFW,LOS,Nigeria,NIG,400.5113560306327
ACC,Ghana,AFW,ROB,Liberia,AFW,1129.7869062549644
BCN,Spain,EUM,BJL,Gambia,AFW,3599.883987412828
BJL,Gambia,AFW,BCN,Spain,EUM,3599.883987412828
BJL,Gambia,AFW,DKR,Senegal,AFW,180.17842014822085
BJL,Gambia,AFW,FNA,Sierra Leone,AFW,646.474686153414
CKY,Guinea,AFW,OXB,Guinea-Bissau,AFW,340.84413638785173
DKR,Senegal,AFW,ACC,Ghana,AFW,2148.7762160006223
DKR,Senegal,AFW,BJL,Gambia,AFW,180.17842014822085
DKR,Senegal,AFW,DLA,Cameroon,AFW,3209.821255927227
DKR,Senegal,AFW,FNA,Sierra Leone,AFW,825.8702598369771
DKR,Senegal,AFW,LOS,Nigeria,NIG,2446.2274338170846
DKR,Senegal,AFW,OXB,Guinea-Bissau,AFW,373.56297453325493
DLA,Cameroon,AFW,DKR,Senegal,AFW,3209.821255927227
DLA,Cameroon,AFW,LOS,Nigeria,NIG,763.8894162213929
FNA,Sierra Leone,AFW,BJL,Gambia,AFW,646.474686153414
FNA,Sierra Leone,AFW,DKR,Senegal,AFW,825.8702598369771
FNA,Sierra Leone,AFW,LGW,United Kingdom,ENW,4877.379910902019
FNA,Sierra Leone,AFW,ROB,Liberia,AFW,409.5954725444467
LGW,United Kingdom,ENW,FNA,Sierra Leone,AFW,4877.379910902019
LOS,Nigeria,NIG,ACC,Ghana,AFW,400.5113560306327
LOS,Nigeria,NIG,DKR,Senegal,AFW,2446.2274338170846
LOS,Nigeria,NIG,DLA,Cameroon,AFW,763.8894162213929
LOS,Nigeria,NIG,ROB,Liberia,AFW,1512.4677670407923
OXB,Guinea-Bissau,AFW,CKY,Guinea,AFW,340.84413638785173
OXB,Guinea-Bissau,AFW,DKR,Senegal,AFW,373.56297453325493
ROB,Liberia,AFW,ACC,Ghana,AFW,1129.7869062549644
ROB,Liberia,AFW,FNA,Sierra Leone,AFW,409.5954725444467
ROB,Liberia,AFW,LOS,Nigeria,NIG,1512.4677670407923
AKV,Canada,CAN,YIK,Canada,CAN,178.15858867570353
AKV,Canada,CAN,YPX,Canada,CAN,97.60920555505572
XGR,Canada,CAN,YVP,Canada,CAN,157.43681058143676
YGL,Canada,CAN,YGW,Canada,CAN,184.24751289672542
YGL,Canada,CAN,YPX,Canada,CAN,714.9073275195562
YGL,Canada,CAN,YUL,Canada,CAN,950.394277757438
YGW,Canada,CAN,YGL,Canada,CAN,184.24751289672542
YGW,Canada,CAN,YPH,Canada,CAN,355.2159702526125
YGW,Canada,CAN,YSK,Canada,CAN,167.4022483245084
YGW,Canada,CAN,YUD,Canada,CAN,159.6485787589167
YGW,Canada,CAN,YUL,Canada,CAN,1127.1934356042773
YGW,Canada,CAN,YUY,Canada,CAN,790.2106084867936
YIK,Canada,CAN,AKV,Canada,CAN,178.15858867570353
YIK,Canada,CAN,YZG,Canada,CAN,119.67666562410542
YKG,Canada,CAN,YPJ,Canada,CAN,84.26943918161045
YKG,Canada,CAN,YQC,Canada,CAN,115.2330616216065
YKG,Canada,CAN,YVP,Canada,CAN,232.76556466932223
YKL,Canada,CAN,YQB,Canada,CAN,947.1713858486459
YKL,Canada,CAN,YVP,Canada,CAN,379.2177243097165
YKL,Canada,CAN,YWK,Canada,CAN,209.46035842226357
YKL,Canada,CAN,YZV,Canada,CAN,510.7982145662476
YPH,Canada,CAN,YPX,Canada,CAN,181.19066723954933
YPH,Canada,CAN,YUD,Canada,CAN,234.5100444081195
YPH,Canada,CAN,YVP,Canada,CAN,565.1572424675221
YPJ,Canada,CAN,YKG,Canada,CAN,84.26943918161045
YPJ,Canada,CAN,YTQ,Canada,CAN,72.84606453466075
YPJ,Canada,CAN,YVP,Canada,CAN,149.70564983084122
YPX,Canada,CAN,AKV,Canada,CAN,97.60920555505572
YPX,Canada,CAN,YGL,Canada,CAN,714.9073275195562
YPX,Canada,CAN,YPH,Canada,CAN,181.19066723954933
YPX,Canada,CAN,YVP,Canada,CAN,550.4466421335802
YQB,Canada,CAN,YKL,Canada,CAN,947.1713858486459
YQB,Canada,CAN,YUL,Canada,CAN,232.97025210166106
YQC,Canada,CAN,YKG,Canada,CAN,115.2330616216065
YQC,Canada,CAN,YWB,Canada,CAN,137.30057823453058
YSK,Canada,CAN,YGW,Canada,CAN,167.4022483245084
YSK,Canada,CAN,YUD,Canada,CAN,167.2745099621847
YTQ,Canada,CAN,YPJ,Canada,CAN,72.84606453466075
YTQ,Canada,CAN,YVP,Canada,CAN,109.47031701019387
YUD,Canada,CAN,YGW,Canada,CAN,159.6485787589167
YUD,Canada,CAN,YPH,Canada,CAN,234.5100444081195
YUD,Canada,CAN,YSK,Canada,CAN,167.2745099621847
YUL,Canada,CAN,YGL,Canada,CAN,950.394277757438
YUL,Canada,CAN,YGW,Canada,CAN,1127.1934356042773
YUL,Canada,CAN,YQB,Canada,CAN,232.97025210166106
YUL,Canada,CAN,YUY,Canada,CAN,492.46633238735086
YUY,Canada,CAN,YGW,Canada,CAN,790.2106084867936
YUY,Canada,CAN,YUL,Canada,CAN,492.46633238735086
YVP,Canada,CAN,XGR,Canada,CAN,157.43681058143676
YVP,Canada,CAN,YGW,Canada,CAN,649.6913188905355
YVP,Canada,CAN,YKG,Canada,CAN,232.76556466932223
YVP,Canada,CAN,YKL,Canada,CAN,379.2177243097165
YVP,Canada,CAN,YPH,Canada,CAN,565.1572424675221
YVP,Canada,CAN,YPJ,Canada,CAN,149.70564983084122
YVP,Canada,CAN,YPX,Canada,CAN,550.4466421335802
YVP,Canada,CAN,YTQ,Canada,CAN,109.47031701019387
YWB,Canada,CAN,YQC,Canada,CAN,137.30057823453058
YWB,Canada,CAN,YZG,Canada,CAN,206.55478321465947
YWK,Canada,CAN,YKL,Canada,CAN,209.46035842226357
YWK,Canada,CAN,YZV,Canada,CAN,302.9078534005295
YZG,Canada,CAN,YIK,Canada,CAN,119.67666562410542
YZG,Canada,CAN,YWB,Canada,CAN,206.55478321465947
YZV,Canada,CAN,YKL,Canada,CAN,510.7982145662476
YZV,Canada,CAN,YWK,Canada,CAN,302.9078534005295
JIB,Djibouti,AFE,DXB,United Arab Emirates,MEA,1992.387513775767
JIB,Djibouti,AFE,JED,Saudi Arabia,MEA,1204.4441120243846
JIB,Djibouti,AFE,MGQ,Somalia,AFE,1086.086007934484
MGQ,Somalia,AFE,NBO,Kenya,AFE,1002.3806528744385
NBO,Kenya,AFE,MGQ,Somalia,AFE,1002.3806528744385
BKK,Thailand,ASE,SIN,Singapore,ASE,1416.9035648215133
DRW,Australia,ANZ,SIN,Singapore,ASE,3339.1226366067626
HAK,China,CHN,SIN,Singapore,ASE,2182.844838710807
HGH,China,CHN,SIN,Singapore,ASE,3650.0347636069755
HKG,Hong Kong,CHN,SIN,Singapore,ASE,2565.5757784902503
HKT,Thailand,ASE,SIN,Singapore,ASE,980.2218989938143
KIX,Japan,JPN,MNL,Philippines,IDN,2634.794394513902
KIX,Japan,JPN,TPE,Taiwan,SKT,1702.9337846319083
KUL,Malaysia,ASE,SIN,Singapore,ASE,297.47222254317137
MNL,Philippines,IDN,KIX,Japan,JPN,2634.794394513902
MNL,Philippines,IDN,SIN,Singapore,ASE,2374.851647744406
PEN,Malaysia,ASE,SIN,Singapore,ASE,602.3293429786164
PER,Australia,ANZ,SIN,Singapore,ASE,3910.768634128117
PNH,Cambodia,ASE,SIN,Singapore,ASE,1137.661658482279
REP,Cambodia,ASE,SIN,Singapore,ASE,1341.2154539358335
RGN,Burma,ASE,SIN,Singapore,ASE,1931.909473583761
SGN,Vietnam,IDN,SIN,Singapore,ASE,1093.016647361484
SIN,Singapore,ASE,BKK,Thailand,ASE,1416.9035648215133
SIN,Singapore,ASE,DRW,Australia,ANZ,3339.1226366067626
SIN,Singapore,ASE,HAK,China,CHN,2182.844838710807
SIN,Singapore,ASE,HGH,China,CHN,3650.0347636069755
SIN,Singapore,ASE,HKG,Hong Kong,CHN,2565.5757784902503
SIN,Singapore,ASE,HKT,Thailand,ASE,980.2218989938143
SIN,Singapore,ASE,KUL,Malaysia,ASE,297.47222254317137
SIN,Singapore,ASE,MNL,Philippines,IDN,2374.851647744406
SIN,Singapore,ASE,PEN,Malaysia,ASE,602.3293429786164
SIN,Singapore,ASE,PER,Australia,ANZ,3910.768634128117
SIN,Singapore,ASE,PNH,Cambodia,ASE,1137.661658482279
SIN,Singapore,ASE,REP,Cambodia,ASE,1341.2154539358335
SIN,Singapore,ASE,RGN,Burma,ASE,1931.909473583761
SIN,Singapore,ASE,SGN,Vietnam,IDN,1093.016647361484
SIN,Singapore,ASE,SWA,China,CHN,2812.9254804803086
SIN,Singapore,ASE,TPE,Taiwan,SKT,3222.3828837296046
SWA,China,CHN,SIN,Singapore,ASE,2812.9254804803086
TPE,Taiwan,SKT,KIX,Japan,JPN,1702.9337846319083
TPE,Taiwan,SKT,SIN,Singapore,ASE,3222.3828837296046
ACH,Switzerland,ENW,EBA,Italy,EUM,528.0477740811091
DRS,Germany,EUW,ZRH,Switzerland,ENW,556.0760974015303
DUS,Germany,EUW,FDH,Germany,EUW,448.4569213226282
EBA,Italy,EUM,ACH,Switzerland,ENW,528.0477740811091
EBA,Italy,EUM,FDH,Germany,EUW,549.0393898748847
EBA,Italy,EUM,MUC,Germany,EUW,633.4820175620449
EBA,Italy,EUM,ZRH,Switzerland,ENW,539.621197131775
FDH,Germany,EUW,DUS,Germany,EUW,448.4569213226282
FDH,Germany,EUW,EBA,Italy,EUM,549.0393898748847
FDH,Germany,EUW,HAM,Germany,EUW,663.4696987641304
FDH,Germany,EUW,OLB,Italy,EUM,753.0786935544605
FDH,Germany,EUW,TXL,Germany,EUW,606.393373898006
FDH,Germany,EUW,ZAD,Croatia,EUE,600.467645179579
FMM,Germany,EUW,NAP,Italy,EUM,852.4672741359705
GRZ,Austria,EUW,ZRH,Switzerland,ENW,522.7845543929949
