source,source_country,destination,destination_country,distance_km
ZRH,Switzerland,BDS,Italy,1064.7408432924565
ZRH,Switzerland,BOD,France,770.9701783806113
ZRH,Switzerland,BRS,United Kingdom,922.7610697261699
ZRH,Switzerland,LCA,Cyprus,2505.174815335636
ZRH,Switzerland,LPA,Spain,3001.1763973292987
ZRH,Switzerland,RMF,Egypt,3337.4412676884804
AJR,Sweden,LYC,Sweden,118.85904094007256
ARN,Sweden,GEV,Sweden,843.9758148468107
ARN,Sweden,HAD,Sweden,444.4784372618803
ARN,Sweden,JKG,Sweden,306.2054197734869
ARN,Sweden,KRF,Sweden,377.77962351832605
ARN,Sweden,KSD,Sweden,259.14683110204675
ARN,Sweden,LYC,Sweden,546.0229776499885
ARN,Sweden,MHQ,Finland,122.18564500712071
ARN,Sweden,OER,Sweden,421.5199429806082
ARN,Sweden,POR,Finland,292.3265699251817
ARN,Sweden,TRF,Norway,436.1582874294317
ARN,Sweden,VBY,Sweden,222.55517159028483
ARN,Sweden,VHM,Sweden,550.7566446512764
ARN,Sweden,VXO,Sweden,355.49050697254944
GEV,Sweden,ARN,Sweden,843.9758148468107
GEV,Sweden,KRF,Sweden,475.83525850542134
HAD,Sweden,ARN,Sweden,444.4784372618803
HAD,Sweden,JKG,Sweden,140.39235940112985
HAD,Sweden,VXO,Sweden,119.10046954751851
HMV,Sweden,VHM,Sweden,159.00438759313693
JKG,Sweden,ARN,Sweden,306.2054197734869
JKG,Sweden,HAD,Sweden,140.39235940112985
KOK,Finland,POR,Finland,260.46635412823105
KRF,Sweden,ARN,Sweden,377.77962351832605
KRF,Sweden,GEV,Sweden,475.83525850542134
KSD,Sweden,ARN,Sweden,259.14683110204675
LYC,Sweden,AJR,Sweden,118.85904094007256
LYC,Sweden,ARN,Sweden,546.0229776499885
MHQ,Finland,ARN,Sweden,122.18564500712071
MHQ,Finland,TKU,Finland,137.28935130200296
OER,Sweden,ARN,Sweden,421.5199429806082
OSL,Norway,VXO,Sweden,414.0599300188711
POR,Finland,ARN,Sweden,292.3265699251817
POR,Finland,KOK,Finland,260.46635412823105
TKU,Finland,MHQ,Finland,137.28935130200296
TRF,Norway,ARN,Sweden,436.1582874294317
VBY,Sweden,ARN,Sweden,222.55517159028483
VHM,Sweden,ARN,Sweden,550.7566446512764
VHM,Sweden,HMV,Sweden,159.00438759313693
VXO,Sweden,ARN,Sweden,355.49050697254944
VXO,Sweden,OSL,Norway,414.0599300188711
ADQ,United States,KLN,United States,91.48827084792852
KLN,United States,KYK,United States,28.38402958681258
BSO,Philippines,MNL,Philippines,668.5873317352389
BXU,Philippines,MNL,Philippines,785.6636043607376
CBO,Philippines,MNL,Philippines,887.6554018895711
CGY,Philippines,MNL,Philippines,754.9091164699981
CRM,Philippines,MNL,Philippines,450.1057300369508
DGT,Philippines,MNL,Philippines,626.5736881526625
DWC,United Arab Emirates,MNL,Philippines,6929.057653383128
GES,Philippines,MNL,Philippines,1039.9236312136563
KLO,Philippines,MNL,Philippines,347.17620190869707
LGP,Philippines,MNL,Philippines,329.38623112998755
MNL,Philippines,BSO,Philippines,668.5873317352389
MNL,Philippines,BXU,Philippines,785.6636043607376
MNL,Philippines,CBO,Philippines,887.6554018895711
MNL,Philippines,CGY,Philippines,754.9091164699981
MNL,Philippines,CRM,Philippines,450.1057300369508
MNL,Philippines,DGT,Philippines,626.5736881526625
MNL,Philippines,DWC,United Arab Emirates,6929.057653383128
MNL,Philippines,GES,Philippines,1039.9236312136563
MNL,Philippines,KLO,Philippines,347.17620190869707
MNL,Philippines,LGP,Philippines,329.38623112998755
MNL,Philippines,MPH,Philippines,304.60455408669264
MNL,Philippines,OZC,Philippines,768.10565415533
MNL,Philippines,PPS,Philippines,584.1982735894983
MNL,Philippines,RXS,Philippines,374.10812080353105
MNL,Philippines,SUG,Philippines,717.1596451776982
MNL,Philippines,TUG,Philippines,356.799048247548
MNL,Philippines,ZAM,Philippines,851.1508232458168
MPH,Philippines,MNL,Philippines,304.60455408669264
OZC,Philippines,MNL,Philippines,768.10565415533
PPS,Philippines,MNL,Philippines,584.1982735894983
RXS,Philippines,MNL,Philippines,374.10812080353105
SUG,Philippines,MNL,Philippines,717.1596451776982
TUG,Philippines,MNL,Philippines,356.799048247548
ZAM,Philippines,MNL,Philippines,851.1508232458168
AUX,Brazil,PMW,Brazil,340.90055757602914
BRA,Brazil,BSB,Brazil,525.6465787320147
BRA,Brazil,SSA,Brazil,731.7115488741829
BSB,Brazil,BRA,Brazil,525.6465787320147
BSB,Brazil,OPS,Brazil,938.3890741999669
BSB,Brazil,RAO,Brazil,585.8853682415156
CAC,Brazil,GRU,Brazil,733.4994595166997
CGB,Brazil,GYN,Brazil,744.5253175834697
CGB,Brazil,OPS,Brazil,422.8702531019859
CGR,Brazil,DOU,Brazil,194.51151952327237
DOU,Brazil,CGR,Brazil,194.51151952327237
DOU,Brazil,GRU,Brazil,877.0738733404154
GIG,Brazil,RAO,Brazil,502.41661662456556
GRU,Brazil,CAC,Brazil,733.4994595166997
GRU,Brazil,DOU,Brazil,877.0738733404154
GRU,Brazil,RAO,Brazil,288.6975105427224
GRU,Brazil,UBA,Brazil,436.3766546982135
GRU,Brazil,UDI,Brazil,537.7555229439891
GRU,Brazil,VDC,Brazil,1120.2772704783356
GYN,Brazil,CGB,Brazil,744.5253175834697
GYN,Brazil,PMW,Brazil,711.1838829811212
GYN,Brazil,RAO,Brazil,523.3844820462187
GYN,Brazil,UDI,Brazil,271.6503046090855
OPS,Brazil,BSB,Brazil,938.3890741999669
OPS,Brazil,CGB,Brazil,422.8702531019859
PLU,Brazil,RAO,Brazil,423.34209165541245
PMW,Brazil,AUX,Brazil,340.90055757602914
PMW,Brazil,GYN,Brazil,711.1838829811212
RAO,Brazil,BSB,Brazil,585.8853682415156
RAO,Brazil,GIG,Brazil,502.41661662456556
RAO,Brazil,GRU,Brazil,288.6975105427224
RAO,Brazil,GYN,Brazil,523.3844820462187
RAO,Brazil,PLU,Brazil,423.34209165541245
RAO,Brazil,SJP,Brazil,172.91334607389948
RAO,Brazil,UDI,Brazil,254.84403140709634
SJP,Brazil,RAO,Brazil,172.91334607389948
SSA,Brazil,BRA,Brazil,731.7115488741829
SSA,Brazil,VDC,Brazil,349.88434603325885
UBA,Brazil,GRU,Brazil,436.3766546982135
UBA,Brazil,UDI,Brazil,101.67905335923881
UDI,Brazil,GRU,Brazil,537.7555229439891
UDI,Brazil,GYN,Brazil,271.6503046090855
UDI,Brazil,RAO,Brazil,254.84403140709634
UDI,Brazil,UBA,Brazil,101.67905335923881
VDC,Brazil,GRU,Brazil,1120.2772704783356
VDC,Brazil,SSA,Brazil,349.88434603325885
BRL,United States,ORD,United States,299.7634210864198
BRL,United States,STL,United States,235.25890892252008
DEC,United States,ORD,United States,251.70224645238423
DEC,United States,STL,United States,177.02213163997635
JBR,United States,STL,United States,325.27510641767344
ORD,United States,BRL,United States,299.7634210864198
ORD,United States,DEC,United States,251.70224645238423
STL,United States,BRL,United States,235.25890892252008
STL,United States,DEC,United States,177.02213163997635
STL,United States,JBR,United States,325.27510641767344
KTN,United States,MTM,United States,26.420297805135977
MTM,United States,KTN,United States,26.420297805135977
ACC,Ghana,DKR,Senegal,2148.7762160006223
ACC,Ghana,LOS,Nigeria,400.5113560306327
ACC,Ghana,ROB,Liberia,1129.7869062549644
BCN,Spain,BJL,Gambia,3599.883987412828
BJL,Gambia,BCN,Spain,3599.883987412828
BJL,Gambia,DKR,Senegal,180.17842014822085
BJL,Gambia,FNA,Sierra Leone,646.474686153414
CKY,Guinea,OXB,Guinea-Bissau,340.84413638785173
DKR,Senegal,ACC,Ghana,2148.7762160006223
DKR,Senegal,BJL,Gambia,180.17842014822085
DKR,Senegal,DLA,Cameroon,3209.821255927227
DKR,Senegal,FNA,Sierra Leone,825.8702598369771
DKR,Senegal,LOS,Nigeria,2446.2274338170846
DKR,Senegal,OXB,Guinea-Bissau,373.56297453325493
DLA,Cameroon,DKR,Senegal,3209.821255927227
DLA,Cameroon,LOS,Nigeria,763.8894162213929
FNA,Sierra Leone,BJL,Gambia,646.474686153414
FNA,Sierra Leone,DKR,Senegal,825.8702598369771
FNA,Sierra Leone,LGW,United Kingdom,4877.379910902019
FNA,Sierra Leone,ROB,Liberia,409.5954725444467
LGW,United Kingdom,FNA,Sierra Leone,4877.379910902019
LOS,Nigeria,ACC,Ghana,400.5113560306327
LOS,Nigeria,DKR,Senegal,2446.2274338170846
LOS,Nigeria,DLA,Cameroon,763.8894162213929
LOS,Nigeria,ROB,Liberia,1512.4677670407923
OXB,Guinea-Bissau,CKY,Guinea,340.84413638785173
OXB,Guinea-Bissau,DKR,Senegal,373.56297453325493
ROB,Liberia,ACC,Ghana,1129.7869062549644
ROB,Liberia,FNA,Sierra Leone,409.5954725444467
ROB,Liberia,LOS,Nigeria,1512.4677670407923
AKV,Canada,YIK,Canada,178.15858867570353
AKV,Canada,YPX,Canada,97.60920555505572
XGR,Canada,YVP,Canada,157.43681058143676
YGL,Canada,YGW,Canada,184.24751289672542
YGL,Canada,YPX,Canada,714.9073275195562
YGL,Canada,YUL,Canada,950.394277757438
YGW,Canada,YGL,Canada,184.24751289672542
YGW,Canada,YPH,Canada,355.2159702526125
YGW,Canada,YSK,Canada,167.4022483245084
YGW,Canada,YUD,Canada,159.6485787589167
YGW,Canada,YUL,Canada,1127.1934356042773
YGW,Canada,YUY,Canada,790.2106084867936
YIK,Canada,AKV,Canada,178.15858867570353
YIK,Canada,YZG,Canada,119.67666562410542
YKG,Canada,YPJ,Canada,84.26943918161045
YKG,Canada,YQC,Canada,115.2330616216065
YKG,Canada,YVP,Canada,232.76556466932223
YKL,Canada,YQB,Canada,947.1713858486459
YKL,Canada,YVP,Canada,379.2177243097165
YKL,Canada,YWK,Canada,209.46035842226357
YKL,Canada,YZV,Canada,510.7982145662476
YPH,Canada,YPX,Canada,181.19066723954933
YPH,Canada,YUD,Canada,234.5100444081195
YPH,Canada,YVP,Canada,565.1572424675221
YPJ,Canada,YKG,Canada,84.26943918161045
YPJ,Canada,YTQ,Canada,72.84606453466075
YPJ,Canada,YVP,Canada,149.70564983084122
YPX,Canada,AKV,Canada,97.60920555505572
YPX,Canada,YGL,Canada,714.9073275195562
YPX,Canada,YPH,Canada,181.19066723954933
YPX,Canada,YVP,Canada,550.4466421335802
YQB,Canada,YKL,Canada,947.1713858486459
YQB,Canada,YUL,Canada,232.97025210166106
YQC,Canada,YKG,Canada,115.2330616216065
YQC,Canada,YWB,Canada,137.30057823453058
YSK,Canada,YGW,Canada,167.4022483245084
YSK,Canada,YUD,Canada,167.2745099621847
YTQ,Canada,YPJ,Canada,72.84606453466075
YTQ,Canada,YVP,Canada,109.47031701019387
YUD,Canada,YGW,Canada,159.6485787589167
YUD,Canada,YPH,Canada,234.5100444081195
YUD,Canada,YSK,Canada,167.2745099621847
YUL,Canada,YGL,Canada,950.394277757438
YUL,Canada,YGW,Canada,1127.1934356042773
YUL,Canada,YQB,Canada,232.97025210166106
YUL,Canada,YUY,Canada,492.46633238735086
YUY,Canada,YGW,Canada,790.2106084867936
YUY,Canada,YUL,Canada,492.46633238735086
YVP,Canada,XGR,Canada,157.43681058143676
YVP,Canada,YGW,Canada,649.6913188905355
YVP,Canada,YKG,Canada,232.76556466932223
YVP,Canada,YKL,Canada,379.2177243097165
YVP,Canada,YPH,Canada,565.1572424675221
YVP,Canada,YPJ,Canada,149.70564983084122
YVP,Canada,YPX,Canada,550.4466421335802
YVP,Canada,YTQ,Canada,109.47031701019387
YWB,Canada,YQC,Canada,137.30057823453058
YWB,Canada,YZG,Canada,206.55478321465947
YWK,Canada,YKL,Canada,209.46035842226357
YWK,Canada,YZV,Canada,302.9078534005295
YZG,Canada,YIK,Canada,119.67666562410542
YZG,Canada,YWB,Canada,206.55478321465947
YZV,Canada,YKL,Canada,510.7982145662476
YZV,Canada,YWK,Canada,302.9078534005295
JIB,Djibouti,DXB,United Arab Emirates,1992.387513775767
JIB,Djibouti,JED,Saudi Arabia,1204.4441120243846
JIB,Djibouti,MGQ,Somalia,1086.086007934484
MGQ,Somalia,NBO,Kenya,1002.3806528744385
NBO,Kenya,MGQ,Somalia,1002.3806528744385
BKK,Thailand,SIN,Singapore,1416.9035648215133
DRW,Australia,SIN,Singapore,3339.1226366067626
HAK,China,SIN,Singapore,2182.844838710807
HGH,China,SIN,Singapore,3650.0347636069755
HKG,Hong Kong,SIN,Singapore,2565.5757784902503
HKT,Thailand,SIN,Singapore,980.2218989938143
KIX,Japan,MNL,Philippines,2634.794394513902
KIX,Japan,TPE,Taiwan,1702.9337846319083
KUL,Malaysia,SIN,Singapore,297.47222254317137
MNL,Philippines,KIX,Japan,2634.794394513902
MNL,Philippines,SIN,Singapore,2374.851647744406
PEN,Malaysia,SIN,Singapore,602.3293429786164
PER,Australia,SIN,Singapore,3910.768634128117
PNH,Cambodia,SIN,Singapore,1137.661658482279
REP,Cambodia,SIN,Singapore,1341.2154539358335
RGN,Burma,SIN,Singapore,1931.909473583761
SGN,Vietnam,SIN,Singapore,1093.016647361484
SIN,Singapore,BKK,Thailand,1416.9035648215133
SIN,Singapore,DRW,Australia,3339.1226366067626
SIN,Singapore,HAK,China,2182.844838710807
SIN,Singapore,HGH,China,3650.0347636069755
SIN,Singapore,HKG,Hong Kong,2565.5757784902503
SIN,Singapore,HKT,Thailand,980.2218989938143
SIN,Singapore,KUL,Malaysia,297.47222254317137
SIN,Singapore,MNL,Philippines,2374.851647744406
SIN,Singapore,PEN,Malaysia,602.3293429786164
SIN,Singapore,PER,Australia,3910.768634128117
SIN,Singapore,PNH,Cambodia,1137.661658482279
SIN,Singapore,REP,Cambodia,1341.2154539358335
SIN,Singapore,RGN,Burma,1931.909473583761
SIN,Singapore,SGN,Vietnam,1093.016647361484
SIN,Singapore,SWA,China,2812.9254804803086
SIN,Singapore,TPE,Taiwan,3222.3828837296046
SWA,China,SIN,Singapore,2812.9254804803086
TPE,Taiwan,KIX,Japan,1702.9337846319083
TPE,Taiwan,SIN,Singapore,3222.3828837296046
ACH,Switzerland,EBA,Italy,528.0477740811091
DRS,Germany,ZRH,Switzerland,556.0760974015303
DUS,Germany,FDH,Germany,448.4569213226282
EBA,Italy,ACH,Switzerland,528.0477740811091
EBA,Italy,FDH,Germany,549.0393898748847
EBA,Italy,MUC,Germany,633.4820175620449
EBA,Italy,ZRH,Switzerland,539.621197131775
FDH,Germany,DUS,Germany,448.4569213226282
FDH,Germany,EBA,Italy,549.0393898748847
FDH,Germany,HAM,Germany,663.4696987641304
FDH,Germany,OLB,Italy,753.0786935544605
FDH,Germany,TXL,Germany,606.393373898006
FDH,Germany,ZAD,Croatia,600.467645179579
FMM,Germany,NAP,Italy,852.4672741359705
GRZ,Austria,ZRH,Switzerland,522.7845543929949
HAM,Germany,FDH,Germany,663.4696987641304
MUC,Germany,EBA,Italy,633.4820175620449
NAP,Italy,FMM,Germany,852.4672741359705
OLB,Italy,FDH,Germany,753.0786935544605
SZG,Austria,ZRH,Switzerland,335.8018235477209
TXL,Germany,FDH,Germany,606.393373898006
ZAD,Croatia,FDH,Germany,600.467645179579
ZRH,Switzerland,DRS,Germany,556.0760974015303
ZRH,Switzerland,EBA,Italy,539.621197131775
ZRH,Switzerland,GRZ,Austria,522.7845543929949
ZRH,Switzerland,SZG,Austria,335.8018235477209
ATL,United States,LWB,United States,593.6018156374658
ATL,United States,MCN,United States,127.56214982134829
ATL,United States,MEI,United States,428.5226936127187
ATL,United States,MSL,United States,317.55910886456644
ATL,United States,PIB,United States,519.4254219961723
ATL,United States,TUP,United States,406.5452203978709
BIM,Bahamas,FLL,United States,98.02452722937417
ELH,Bahamas,FLL,United States,353.66959623990005
ELH,Bahamas,PBI,United States,366.29006168216927
EYW,United States,FLL,United States,233.49785480727994
EYW,United States,RSW,United States,220.17737373370994
EYW,United States,TPA,United States,387.9620401160833
FLL,United States,BIM,Bahamas,98.02452722937417
FLL,United States,ELH,Bahamas,353.66959623990005
FLL,United States,EYW,United States,233.49785480727994
FLL,United States,FPO,Bahamas,154.96198748548977
FLL,United States,GGT,Bahamas,513.7730602617561
FLL,United States,GHB,Bahamas,392.85965698360343
FLL,United States,MCO,United States,285.90139605879926
FLL,United States,MHH,Bahamas,309.83100753883144
FLL,United States,TCB,Bahamas,284.99425375123343
FLL,United States,TPA,United States,316.79935021492815
FPO,Bahamas,FLL,United States,154.96198748548977
GGT,Bahamas,FLL,United States,513.7730602617561
GGT,Bahamas,GHB,Bahamas,196.90418041738073
GHB,Bahamas,FLL,United States,392.85965698360343
GLH,United States,TUP,United States,222.40049985391724
GNV,United States,MCO,United States,168.54706771715425
GNV,United States,TPA,United States,192.34746297189716
JAX,United States,MHH,Bahamas,631.1732893354424
JAX,United States,TPA,United States,291.81588713307895
LWB,United States,ATL,United States,593.6018156374658
MCN,United States,ATL,United States,127.56214982134829
MCN,United States,MCO,United States,524.3084919130907
MCO,United States,FLL,United States,285.90139605879926
MCO,United States,GNV,United States,168.54706771715425
MCO,United States,MCN,United States,524.3084919130907
MCO,United States,MHH,Bahamas,468.21508892408
MCO,United States,PNS,United States,612.6977112397853
MCO,United States,RSW,United States,215.06598391292644
MCO,United States,TLH,United States,366.88387211461196
MEI,United States,ATL,United States,428.5226936127187
MHH,Bahamas,FLL,United States,309.83100753883144
MHH,Bahamas,JAX,United States,631.1732893354424
MHH,Bahamas,MCO,United States,468.21508892408
MHH,Bahamas,PBI,United States,300.0872540500142
MSL,United States,ATL,United States,317.55910886456644
PBI,United States,ELH,Bahamas,366.29006168216927
PBI,United States,MHH,Bahamas,300.0872540500142
PBI,United States,TPA,United States,280.4016571063714
PIB,United States,ATL,United States,519.4254219961723
PNS,United States,MCO,United States,612.6977112397853
PNS,United States,TPA,United States,530.0707250294574
RSW,United States,EYW,United States,220.17737373370994
RSW,United States,MCO,United States,215.06598391292644
TCB,Bahamas,FLL,United States,284.99425375123343
TLH,United States,MCO,United States,366.88387211461196
TLH,United States,TPA,United States,321.83470054698006
TPA,United States,EYW,United States,387.9620401160833
TPA,United States,FLL,United States,316.79935021492815
TPA,United States,GNV,United States,192.34746297189716
TPA,United States,JAX,United States,291.81588713307895
TPA,United States,PBI,United States,280.4016571063714
TPA,United States,PNS,United States,530.0707250294574
TPA,United States,TLH,United States,321.83470054698006
TUP,United States,ATL,United States,406.5452203978709
TUP,United States,GLH,United States,222.40049985391724
AMS,Netherlands,NDR,Morocco,2022.5063348499675
AMS,Netherlands,TNG,Morocco,2026.9577468574728
BCN,Spain,CMN,Morocco,1226.5156377027934
BCN,Spain,NDR,Morocco,831.1729220730673
BCN,Spain,TNG,Morocco,930.6748512344733
BGY,Italy,CMN,Morocco,2010.0845006579355
BLQ,Italy,CMN,Morocco,2042.6883388806168
BRU,Belgium,CMN,Morocco,2182.663804503276
BRU,Belgium,NDR,Morocco,1869.6961753398928
BRU,Belgium,TNG,Morocco,1881.2450006106021
CGN,Germany,NDR,Morocco,1945.7375681288163
CMN,Morocco,BCN,Spain,1226.5156377027934
CMN,Morocco,BGY,Italy,2010.0845006579355
CMN,Morocco,BLQ,Italy,2042.6883388806168
CMN,Morocco,BRU,Belgium,2182.663804503276
CMN,Morocco,CUF,Italy,1804.2590542773128
CMN,Morocco,LGW,United Kingdom,2066.2017017865037
CMN,Morocco,LYS,France,1747.2148427683976
CMN,Morocco,MPL,France,1513.6161819243837
CMN,Morocco,SAW,Turkey,3349.8310748861377
CMN,Morocco,TLS,France,1379.8265417638324
CMN,Morocco,TSF,Italy,2168.0414889157164
CUF,Italy,CMN,Morocco,1804.2590542773128
FEZ,Morocco,MPL,France,1321.9774272879222
LGW,United Kingdom,CMN,Morocco,2066.2017017865037
LGW,United Kingdom,TNG,Morocco,1774.6329684802379
LYS,France,CMN,Morocco,1747.2148427683976
MPL,France,CMN,Morocco,1513.6161819243837
MPL,France,FEZ,Morocco,1321.9774272879222
MPL,France,NDR,Morocco,1127.6691268468348
NDR,Morocco,AMS,Netherlands,2022.5063348499675
NDR,Morocco,BCN,Spain,831.1729220730673
NDR,Morocco,BRU,Belgium,1869.6961753398928
NDR,Morocco,CGN,Germany,1945.7375681288163
NDR,Morocco,MPL,France,1127.6691268468348
NDR,Morocco,PMI,Spain,719.2942027541073
PMI,Spain,NDR,Morocco,719.2942027541073
SAW,Turkey,CMN,Morocco,3349.8310748861377
TLS,France,CMN,Morocco,1379.8265417638324
TNG,Morocco,AMS,Netherlands,2026.9577468574728
TNG,Morocco,BCN,Spain,930.6748512344733
TNG,Morocco,BRU,Belgium,1881.2450006106021
TNG,Morocco,LGW,United Kingdom,1774.6329684802379
TSF,Italy,CMN,Morocco,2168.0414889157164
AUA,Aruba,LSP,Venezuela,81.48817990942575
AUA,Aruba,MAR,Venezuela,285.48538672360223
BON,Netherlands Antilles,CUR,Netherlands Antilles,75.41962012396885
CUR,Netherlands Antilles,AUA,Aruba,119.79153936356269
LSP,Venezuela,AUA,Aruba,81.48817990942575
MAR,Venezuela,AUA,Aruba,285.48538672360223
ASF,Russia,DME,Russia,1235.2380422748795
ASF,Russia,LED,Russia,1902.0748744480443
BHK,Uzbekistan,DME,Russia,2615.6552278795057
DME,Russia,ASF,Russia,1235.2380422748795
DME,Russia,BHK,Uzbekistan,2615.6552278795057
DME,Russia,EGO,Russia,537.0795527366757
DME,Russia,FEG,Uzbekistan,2982.361522753397
